,vib_max,vib_min,vib_cur,accumulativeprofit,mins_mean_30,mins_ratio,cur_price,beginyear
SH601186,0.202307692308,0.0,0.013698630137,1.06738273143,3.90433333333,2.638094425,10.3,2008
SZ002561,0.1925,0.0,0.0179372197309,0.629322112428,7.371,1.51539818206,11.17,2011
SZ002278,0.200257981296,0.0,0.0495495495495,0.804081006532,8.743,1.30961912387,11.45,2009
SH600557,0.217919855921,0.00415627597672,0.0153022188217,7.08139071272,4.165,3.16926770708,13.2,2002
SZ300405,0.217494089835,0.0,0.0422535211268,0.920136446257,14.077,1.03004901613,14.5,2014
SH600398,0.195219123506,0.0,0.0451930977814,2.1120220658,2.263,5.3866548829,12.19,2000
SZ300489,0.215822463154,0.0,0.0243902439024,1.36835515747,16.3296666667,1.01839188389,16.63,2015
SZ300286,0.222222222222,0.0,0.0212888377445,2.22318318642,13.2476666667,1.33381979216,17.67,2012
SH600038,0.222916666667,0.0,0.0623579904065,6.56588452695,5.08133333333,8.11598005773,41.24,2000
SZ002434,0.222745098039,0.0,0.016091954023,1.92336532526,6.25966666667,1.39624048139,8.74,2010
SZ002355,0.223048327138,0.0,0.0260869565217,1.42440071104,6.06833333333,1.72864597638,10.49,2010
SH600120,0.220163876024,0.0,0.0762527233115,3.75381884876,2.10066666667,11.134560457,23.39,2000
SZ002452,0.220779220779,0.0,0.0251256281407,1.12117223325,5.76166666667,1.05698582586,6.09,2010
SZ002010,0.219254312743,0.0,0.0398773006135,6.58701818881,3.76633333333,4.38091866537,16.5,2004
SH601766,0.222222222222,0.0,0.00974658869396,2.77717962642,3.35566666667,3.06645475315,10.29,2008
SH603663,0.124121779859,0.0,0.0136612021858,2.42925837158,16.1313333333,1.14125718064,18.41,2016
SZ002092,0.471984805318,0.0,0.0227272727273,2.60810505187,4.90966666667,2.54599769163,12.5,2006
SH603043,0.124205378973,0.0,0.0426136363636,0.962570189424,18.1326666667,1.00812529872,18.28,2017
SH601838,0.200238379023,0.0,0.0283505154639,1.18528410132,12.8803448276,0.926993815758,11.94,2018
SH600071,0.208571428571,0.0,0.0187353629977,3.80302155465,2.67133333333,6.41252807587,17.13,2000
SZ002022,0.222222222222,0.0,0.0172802404207,9.98100700666,9.64966666667,1.39072161387,13.42,2004
SZ002239,0.222379603399,0.0,0.0235602094241,2.37780506719,3.728,1.03004291845,3.84,2008
SH600284,0.221383147854,0.0,0.0110253583241,1.64526450016,4.06533333333,2.2408986553,9.11,2004
SH600835,0.222518914108,0.00454086781029,0.0255576208178,7.91973192106,3.633,5.98128268648,21.73,2000
SZ300345,0.221939586645,0.0,0.0237623762376,1.27835231611,5.03066666667,1.02372117678,5.15,2012
SZ002817,0.199879951981,0.0,0.022949586155,1.36167823595,26.77,1.01158012701,27.08,2016
SH600846,0.221662468514,0.0,0.0202247191011,2.23035901535,2.959,3.03818857722,8.99,2000
SZ002614,0.187989556136,0.0,0.0234914785813,2.27124183634,8.30833333333,2.66840521565,22.17,2011
SH600267,0.218140929535,0.0,0.0398576512456,3.74925033289,5.18066666667,2.78149530305,14.41,2000
SZ002135,0.225925925926,0.0,0.0181268882175,0.745150959767,3.33533333333,1.99380371777,6.65,2007
SZ000883,0.204397394137,0.0,0.00888888888889,1.22761372901,2.34066666667,1.92680148106,4.51,2000
SH600369,0.192384769539,0.0,0.0134228187919,1.18685412261,1.37166666667,3.28068043742,4.5,2001
SZ000951,0.201546391753,0.0,0.0193298969072,6.4987882543,5.71566666667,2.72409167784,15.57,2000
SH603005,0.200086994345,0.0,0.0301379811184,1.0224400673,26.21,1.07668828691,28.22,2014
SH603777,0.2,0.0,0.0177069499779,1.35406548662,21.68,1.04474169742,22.65,2016
SZ000338,0.220350755339,0.0,0.0157004830918,2.24569283449,6.876,1.20855148342,8.31,2007
SH600136,0.188181818182,0.0,0.0937880633374,2.23749533911,2.83233333333,6.1256914205,17.35,2000
SH600123,0.222222222222,0.00401606425703,0.0171358629131,4.54839405129,6.80566666667,1.2004701964,8.17,2000
SH600010,0.220338983051,0.0,0.0132743362832,1.61696415812,1.968,1.15345528455,2.27,2001
SH600917,0.205660377358,0.0,0.0122699386503,1.77630421782,7.756,1.05337802991,8.17,2014
SZ002013,0.220580186097,0.0,0.0533841754051,14.3916606828,4.85633333333,2.19095339419,10.64,2004
SH600764,0.222624434389,0.0,0.0309392265193,7.32075014019,2.88633333333,9.51033606652,27.45,2000
SZ002114,0.210882352941,0.0,0.0269930947897,1.02876897689,3.70266666667,4.39142960029,16.26,2007
SZ000090,0.213333333333,0.0,0.0152594099695,1.73702793918,3.75033333333,2.63443249489,9.88,2000
SZ002792,0.128595600677,0.0,0.0223562810504,1.28977456082,27.3706666667,1.03285756041,28.27,2016
SH600509,0.219689119171,0.0,0.0145867098865,1.84449323349,3.52133333333,1.76353653919,6.21,2002
SH600461,0.223069590086,0.0,0.019512195122,2.05700797411,4.64366666667,1.34376570239,6.24,2004
SH600068,0.216600790514,0.0,0.0178571428571,4.8512775642,2.793,3.21876118869,8.99,2000
SZ300443,0.222187597382,0.0,0.0269503546099,1.26726498916,13.8863333333,1.03699080631,14.4,2015
SZ002594,0.211715664765,0.00449397806939,0.0148669796557,2.55464319387,14.5503333333,4.41570639848,64.25,2011
SZ002711,0.222624434389,0.0,0.0316518298714,2.6849333525,10.1046666667,1.02328956918,10.34,2014
SZ002017,0.222144358795,0.0,0.0466666666667,2.28087895146,4.52766666667,1.72715894869,7.82,2004
SZ002053,0.222129436326,0.0,0.0137614678899,1.66299934188,6.42533333333,1.70419174103,10.95,2006
SZ002408,0.220880069025,0.0,0.0234925606891,2.7074670437,5.517,2.32372666304,12.82,2010
SZ002293,0.209893048128,0.0,0.0286831812256,2.26949052827,10.932,1.41328210757,15.45,2009
SZ000881,0.207811348563,0.0,0.0351882160393,1.22848569836,2.53566666667,4.84290784803,12.28,2000
SZ002389,0.230769230769,0.0,0.040369088812,1.30799488637,5.995,2.93911592994,17.62,2010
SZ002354,0.189643689644,0.0,0.0298013245033,3.10042461887,9.179,2.00239677525,18.38,2010
SZ300703,0.17682106477,0.0,0.0320088300221,0.885704860411,26.8656666667,1.03180019107,27.72,2017
